TimeDate,RAW
5:33:18 AM 7/10/2021,-290
5:33:18 AM 7/10/2021,-149
5:33:18 AM 7/10/2021,120
5:33:18 AM 7/10/2021,374
5:33:18 AM 7/10/2021,453
5:33:18 AM 7/10/2021,315
5:33:18 AM 7/10/2021,128
5:33:18 AM 7/10/2021,-17
5:33:18 AM 7/10/2021,-108
5:33:18 AM 7/10/2021,-209
5:33:18 AM 7/10/2021,-285
5:33:18 AM 7/10/2021,-209
5:33:18 AM 7/10/2021,18
5:33:18 AM 7/10/2021,282
5:33:18 AM 7/10/2021,419
5:33:18 AM 7/10/2021,353
5:33:18 AM 7/10/2021,209
5:33:18 AM 7/10/2021,102
5:33:18 AM 7/10/2021,-6
5:33:18 AM 7/10/2021,-125
5:33:18 AM 7/10/2021,-260
5:33:18 AM 7/10/2021,-41
5:33:18 AM 7/10/2021,227
5:33:18 AM 7/10/2021,392
5:33:18 AM 7/10/2021,371
5:33:18 AM 7/10/2021,251
5:33:18 AM 7/10/2021,101
5:33:18 AM 7/10/2021,-57
5:33:18 AM 7/10/2021,-188
5:33:18 AM 7/10/2021,-273
5:33:18 AM 7/10/2021,-280
5:33:18 AM 7/10/2021,-123
5:33:18 AM 7/10/2021,145
5:33:18 AM 7/10/2021,347
5:33:18 AM 7/10/2021,354
5:33:18 AM 7/10/2021,211
5:33:18 AM 7/10/2021,68
5:33:18 AM 7/10/2021,-25
5:33:18 AM 7/10/2021,-221
5:33:18 AM 7/10/2021,-273
5:33:18 AM 7/10/2021,-250
5:33:18 AM 7/10/2021,-71
5:33:18 AM 7/10/2021,167
5:33:18 AM 7/10/2021,279
5:33:18 AM 7/10/2021,225
5:33:18 AM 7/10/2021,82
5:33:18 AM 7/10/2021,-66
5:33:18 AM 7/10/2021,-187
5:33:18 AM 7/10/2021,-325
5:33:18 AM 7/10/2021,-424
5:33:18 AM 7/10/2021,-348
5:33:18 AM 7/10/2021,-98
5:33:18 AM 7/10/2021,154
5:33:18 AM 7/10/2021,261
5:33:18 AM 7/10/2021,198
5:33:18 AM 7/10/2021,61
5:33:18 AM 7/10/2021,-39
5:33:18 AM 7/10/2021,-123
5:33:18 AM 7/10/2021,-221
5:33:18 AM 7/10/2021,-299
5:33:18 AM 7/10/2021,-278
5:33:18 AM 7/10/2021,-84
5:33:18 AM 7/10/2021,150
5:33:18 AM 7/10/2021,304
5:33:18 AM 7/10/2021,187
5:33:18 AM 7/10/2021,65
5:33:18 AM 7/10/2021,-18
5:33:18 AM 7/10/2021,-117
5:33:18 AM 7/10/2021,-229
5:33:18 AM 7/10/2021,-281
5:33:18 AM 7/10/2021,-137
5:33:18 AM 7/10/2021,138
5:33:18 AM 7/10/2021,388
5:33:18 AM 7/10/2021,449
5:33:18 AM 7/10/2021,316
5:33:18 AM 7/10/2021,165
5:33:18 AM 7/10/2021,41
5:33:18 AM 7/10/2021,-46
5:33:18 AM 7/10/2021,-139
5:33:18 AM 7/10/2021,-225
5:33:18 AM 7/10/2021,-167
5:33:18 AM 7/10/2021,364
5:33:18 AM 7/10/2021,473
5:33:18 AM 7/10/2021,380
5:33:18 AM 7/10/2021,229
5:33:18 AM 7/10/2021,76
5:33:18 AM 7/10/2021,-37
5:33:18 AM 7/10/2021,-122
5:33:18 AM 7/10/2021,-206
5:33:18 AM 7/10/2021,-164
5:33:18 AM 7/10/2021,53
5:33:18 AM 7/10/2021,341
5:33:18 AM 7/10/2021,568
5:33:18 AM 7/10/2021,567
5:33:18 AM 7/10/2021,392
5:33:18 AM 7/10/2021,224
5:33:18 AM 7/10/2021,118
5:33:18 AM 7/10/2021,40
5:33:18 AM 7/10/2021,-100
5:33:18 AM 7/10/2021,35
5:33:18 AM 7/10/2021,298
5:33:18 AM 7/10/2021,525
5:33:18 AM 7/10/2021,582
5:33:18 AM 7/10/2021,483
5:33:18 AM 7/10/2021,344
5:33:18 AM 7/10/2021,243
5:33:18 AM 7/10/2021,116
5:33:18 AM 7/10/2021,-69
5:33:18 AM 7/10/2021,-147
5:33:18 AM 7/10/2021,-14
5:33:18 AM 7/10/2021,231
5:33:18 AM 7/10/2021,466
5:33:18 AM 7/10/2021,551
5:33:18 AM 7/10/2021,441
5:33:18 AM 7/10/2021,273
5:33:18 AM 7/10/2021,123
5:33:18 AM 7/10/2021,-2
5:33:18 AM 7/10/2021,-123
5:33:18 AM 7/10/2021,-221
5:33:18 AM 7/10/2021,-182
5:33:18 AM 7/10/2021,29
5:33:18 AM 7/10/2021,314
5:33:18 AM 7/10/2021,474
5:33:18 AM 7/10/2021,380
5:33:18 AM 7/10/2021,210
5:33:18 AM 7/10/2021,105
5:33:18 AM 7/10/2021,26
5:33:18 AM 7/10/2021,-99
5:33:18 AM 7/10/2021,-228
5:33:18 AM 7/10/2021,-218
5:33:18 AM 7/10/2021,-29
5:33:18 AM 7/10/2021,220
5:33:18 AM 7/10/2021,403
5:33:18 AM 7/10/2021,240
5:33:18 AM 7/10/2021,83
5:33:18 AM 7/10/2021,-58
5:33:18 AM 7/10/2021,-206
5:33:18 AM 7/10/2021,-364
5:33:18 AM 7/10/2021,-421
5:33:18 AM 7/10/2021,-221
5:33:18 AM 7/10/2021,130
5:33:18 AM 7/10/2021,436
5:33:18 AM 7/10/2021,481
5:33:18 AM 7/10/2021,256
5:33:18 AM 7/10/2021,20
