EEG _mean(),EEG _std(),EEG _mad(),EEG _max(),EEG _min(),EEG _energy(),EEG _iqr(),EEG _entropy(),EEG _mean(),EEG _std(),EEG _mad(),EEG _max(),EEG _min(),EEG _energy(),EEG _iqr(),EEG _entropy(),EEG _skewness(),EEG _kurtosis(),EEG _mean(),EEG _std(),EEG _mad(),EEG _max(),EEG _min(),EEG _iqr(),EEG _entropy(),EEG _skewness(),EEG _kurtosis(),state,subject
56.975,249.73478807526996,310.60516477692363,422,-453,13122723,478.5,5.156751848544322,1416.7137358764758,3334.013375884824,414.1936617065679,29658.03999651308,26.655923023034106,13122723.0,1198.3071101642145,4.283288909571453,[6.54655047],[49.81040998],39.47777159364495,253.09113091927978,227.49370390413418,554.3717164502533,-513.3595231414336,304.5862459961054,4.99592835014775,[0.04359168],[-0.50046345],0,2
38.87,142.86571702126443,137.88200632102098,400,-151,4384298,258.25,5.0035107211594205,733.6532563992977,1961.1351048244246,286.324273749934,18196.742863951637,30.856563972773234,4384298.0,540.556495590042,4.22354328490429,[7.45508881],[61.1223254],28.23477377277884,145.34196761431298,39.83760713528616,526.794551983978,-192.33304448274095,56.03821240903389,4.580034972518454,[1.36658897],[1.5952072],1,3
31.575,373.35616289944915,407.7156100890405,761,-834,28078361,613.25,5.104497990896752,2104.129547822709,4863.229363908246,346.16855626820313,37896.107671989834,15.675956722906653,28078361.0,2017.3346276977716,4.0774858981029345,[4.92444522],[29.34976794],21.877883809911783,374.04968012284144,287.7742936483172,1043.6896090313442,-1061.3672785610079,406.9399525728581,4.8723358105641,[-0.1393608],[0.6215823],0,4
47.245,239.43895876611225,300.9682503566372,568,-424,11912621,413.5,5.096702326415491,1521.9812784647531,3097.772423533207,546.2444475574548,28150.843827997924,28.23151632849269,11912621.000000002,1390.5465674323655,4.439820234109457,[6.57496145],[52.08863417],34.53509519315099,241.59973551310028,203.38146800646095,678.1154031578992,-545.8864350760148,249.96224714944455,4.96762448629041,[0.4719148],[0.07274399],0,0
20.985,545.6492506867393,693.8578382606217,944,-974,59634695,994.5,5.111399895670671,3275.3127062737026,6993.355537660161,982.4565290553292,50421.19067432326,31.037162063153705,59634695.0,3346.3010815264547,4.26618143323472,[4.84663059],[26.60943352],15.4219988976786,545.8348073822335,564.0166483890514,1103.0865786510142,-1165.3119753954304,685.7168010556545,5.044156701487303,[-0.02997065],[-0.55419469],1,1
59.885,251.7372673542795,314.3116703231876,428,-453,13391573,477.75,5.157929827192912,1402.2650736795442,3380.122137310796,393.3896991041016,29824.49558263253,15.617958755694126,13391573.0,1170.5802948152889,4.259622846973038,[6.49400076],[48.61790676],41.450599513155424,255.42065852236777,218.05848116156636,569.2209588551707,-497.8031739553295,301.5810421760625,4.989012244792192,[0.09976501],[-0.50752095],0,2
-31.22,75.55429570845062,63.010594286488086,208,-151,1336628,84.25,5.021016899015426,567.7624957885095,1007.1115868542089,191.59268839597667,6244.0,55.571877972355985,1336627.9999999998,477.5328567367336,4.546975105301616,[4.23395512],[18.3484428],-21.29098518152695,78.92929715891306,30.926563433972156,289.91378028648455,-192.33304448274095,81.4940565317496,4.661376253012721,[0.61158865],[2.57085956],1,3
-11.605,347.54524737794935,420.31772894633815,469,-834,24184475,610.75,5.114439059679295,2093.2317415081743,4450.039985926267,387.37016849157317,38395.70831669988,102.58014898622866,24184475.0,1482.4485886460866,4.389406920111513,[5.96666519],[42.74748064],-9.98434775035405,347.5955808119545,299.8304115971538,652.6595590351834,-1061.3672785610079,418.78399115773277,4.915321032105092,[-0.5090877],[0.27594798],0,4
67.435,244.87073278568838,302.4508525751428,582,-424,12901831,406.0,5.08179260091307,1576.3769740306752,3227.517100767383,688.3805420151068,27826.428802562987,37.726247899248776,12901831.000000002,1222.372553282683,4.429797193884816,[5.95126643],[42.44823984],50.2823632101754,248.95951267224154,202.85728896520718,782.7672067735082,-555.0788232314399,249.96224714944458,4.946894445079591,[0.54620814],[0.41513448],0,0
25.665,544.5499635249276,674.5840094200489,883,-974,59438671,992.0,5.110614758248493,3326.1033504135294,6955.264732730732,1170.1836806034564,46946.29878351808,35.74303586350424,59438671.00000002,3183.3155826342463,4.276862547558984,[4.540566],[22.9368888],19.028243481729994,544.8222471136802,479.09964370594145,1170.9688296449228,-1165.3119753954304,663.6197141435748,4.999639028249799,[0.03490957],[-0.3373622],1,1
